servicio_id,fecha_servicio,tipo_servicio,ciudad,cliente,proveedor_id,tiempo_respuesta_min,estado_servicio,costo_servicio
SRV007373,2024-02-06 03:05:00,Grúa,Barranquilla,HDI Seguros,133,,Cancelado,242622
SRV014685,2024-01-06 14:02:00,Grúa,Barranquilla,Allianz Seguros,136,70.0,Completado,191507
SRV010983,2024-05-05 00:58:00,Grúa,Barranquilla,Mundial Seguros,126,71.0,Completado,202079
SRV010812,2024-04-28 23:32:00,Ambulancia,Cali,Ecopetrol,113,14.0,Completado,331577
SRV013663,2024-04-04 08:25:00,Grúa,Medellín,Grupo Nutresa,90,57.0,Completado,307837
SRV013274,2024-05-12 21:41:00,Grúa,Cali,SBS Seguros,99,65.0,Completado,183656
SRV008924,2024-01-05 16:48:00,Grúa,Barranquilla,Seguros Bolivar,140,92.0,Completado,118924
SRV000917,2024-01-06 09:29:00,Cerrajería,BOGOTA,HDI Seguros,18,34.0,Completado,165041
SRV000431,2024-06-14 11:03:00,Grúa, Bogotá,Ecopetrol,47,51.0,Completado,206474
SRV012754,2024-05-27 15:21:00,Grúa,Medellín,Liberty Seguros,92,54.0,Completado,307319
SRV003661,2024-06-07 14:11:00,Cerrajería,Medellín,Sura Seguros,69,38.0,Completado,101952
SRV010928,2024-04-23 06:44:00,Ambulancia,Medellín,Scotiabank Colpatria,85,20.0,Completado,292651
SRV004058,2024-02-06 10:19:00,Grúa,Cali,Liberty Seguros,105,56.0,Completado,247278
SRV003776,2024-05-02 04:21:00,Grúa,Cali,Grupo Éxito,96,,Cancelado,185865
SRV014275,2024-03-24 22:53:00,Cerrajería,Bogotá,Liberty Seguros,19,20.0,Completado,64578
SRV002853,2024-06-21 11:56:00,Cerrajería,Bogotá,Equidad Seguros,46,33.0,Completado,76726
SRV003004,2024-04-18 22:48:00,Cerrajería,Bogotá,Grupo Nutresa,60,43.0,Cancelado,109178
SRV009089,2024-03-22 13:14:00,Grúa,Bogotá,Ecopetrol,49,39.0,Completado,208575
SRV011008,2024-01-09 11:08:00,Ambulancia,Medellín,Banco Davivienda,88,17.0,Completado,372233
SRV005664,2024-02-05 04:33:00,Grúa,Medellín,Ecopetrol,77,42.0,Completado,206596
SRV006663,2024-02-17 21:12:00,Batería,BOGOTA,SBS Seguros,47,26.0,Completado,99022
SRV009847,2024-06-06 01:46:00,Grúa,Medellín,Liberty Seguros,67,59.0,Completado,262566
SRV002589,2024-03-22 09:36:00,Ambulancia,Bogotá,Mundial Seguros,47,14.0,Completado,321870
SRV007713,2024-01-28 09:49:00,Grúa,Medellín,Mapfre Colombia,84,38.0,Completado,297238
SRV004838,2024-03-13 16:42:00,Batería,Medellín,Grupo Éxito,76,36.0,Completado,106451
SRV010843,2024-05-07 21:59:00,Batería,Bogotá,Grupo Éxito,4,,Cancelado,76437
SRV004382,2024-01-29 07:06:00,Grúa,Medellín,Scotiabank Colpatria,83,62.0,Completado,251446
SRV002585,2024-02-07 21:09:00,Grúa,Medellín,Avianca,91,28.0,Completado,295236
SRV012683,2024-05-11 20:01:00,Batería,Bogotá,Sura Seguros,54,13.0,Cancelado,78250
SRV002318,2024-01-22 03:47:00,Grúa,Medellín,Banco Davivienda,66,80.0,Completado,272116
SRV012294,2024-02-17 10:35:00,Grúa,Barranquilla,SBS Seguros,132,78.0,Completado,245609
SRV005616,2024-04-15 06:40:00,Ambulancia,Bogotá,SBS Seguros,45,23.0,Completado,302164
SRV013587,2024-05-22 01:22:00,Grúa, Bogotá,BBVA Colombia,44,,Cancelado,218898
SRV009566,2024-01-21 15:53:00,Grúa,Cali,Liberty Seguros,116,67.0,Completado,137326
SRV002512,2024-03-28 15:46:00,Cerrajería,Medellín,AXA Colpatria,90,21.0,Completado,138211
SRV010059,2024-05-19 13:19:00,Grúa,Cali,Sura Seguros,106,77.0,Completado,181924
SRV008022,2024-06-06 18:32:00,Cerrajería,Cali,Scotiabank Colpatria,103,39.0,Completado,113976
SRV011833,2024-01-09 22:56:00,Grúa,Cali,Mundial Seguros,120,87.0,Completado,307007
SRV008034,2024-02-29 18:28:00,Cerrajería,Medellín,Mapfre Colombia,76,34.0,Completado,111710
SRV010653,2024-03-14 10:14:00,Grúa,Cali,HDI Seguros,120,84.0,Completado,199001
SRV005425,2024-02-15 08:08:00,Grúa,Bogotá,Ecopetrol,55,,Cancelado,244632
SRV005128,2024-07-03 09:21:00,Cerrajería,Bogotá,Grupo Nutresa,22,39.0,Completado,178276
SRV005020,2024-05-19 06:31:00,Cerrajería,Bogotá,Ecopetrol,42,49.0,Cancelado,112801
SRV013775,2024-04-18 04:22:00,Grúa,Bogotá,Scotiabank Colpatria,27,47.0,Completado,215834
SRV006016,2024-06-12 05:48:00,Batería,Medellín,Grupo Éxito,92,22.0,Completado,110994
SRV007029,2024-05-16 21:35:00,Cerrajería,Bogotá,Allianz Seguros,45,39.0,Completado,145985
SRV004789,2024-04-19 10:01:00,Batería,Bogota D.C.,Allianz Seguros,60,30.0,Completado,100761
SRV012362,2024-01-20 21:57:00,Batería,Barranquilla,Grupo Nutresa,141,18.0,Completado,65935
SRV001000,2024-05-17 09:01:00,Cerrajería,Cali,Previsora Seguros,106,19.0,Completado,82399
SRV010826,2024-06-02 17:55:00,Ambulancia,Cali,SBS Seguros,125,21.0,Completado,354133
SRV010024,2024-02-19 14:56:00,Grúa,Bogotá,Banco de Bogotá,1,70.0,Completado,262306
SRV010394,2024-04-30 12:25:00,Ambulancia,Medellín,Banco de Bogotá,69,16.0,Completado,253369
SRV007216,2024-06-27 23:00:00,Grúa,Medellín,Scotiabank Colpatria,61,63.0,Completado,219654
SRV004843,2024-01-09 15:59:00,Cerrajería,Bogotá,Mundial Seguros,33,46.0,Completado,96385
SRV010222,2024-02-21 22:06:00,Grúa,BOGOTA,Previsora Seguros,30,55.0,Completado,254098
SRV003669,2024-01-03 16:37:00,Cerrajería,Cali,Banco de Bogotá,124,,Cancelado,110774
SRV014581,2024-02-23 12:51:00,Batería,Cali,BBVA Colombia,97,27.0,Completado,126337
SRV004635,2024-05-04 20:04:00,Grúa,Cali,Seguros Bolivar,122,50.0,Completado,210391
SRV014244,2024-06-20 11:26:00,Grúa,Bogotá,Seguros del Estado,59,44.0,Completado,229955
SRV003436,2024-06-23 22:35:00,Cerrajería,Bogotá,Grupo Nutresa,32,47.0,Completado,162996
SRV009907,2024-01-03 09:58:00,Batería,Barranquilla,Previsora Seguros,142,37.0,Completado,137113
SRV009335,2024-02-16 18:42:00,Grúa,Cali,SBS Seguros,113,61.0,Completado,272901
SRV008812,2024-01-15 08:25:00,Grúa,Medellín,SBS Seguros,83,71.0,Completado,295029
SRV001614,2024-01-05 21:00:00,Batería,Bogotá,Banco de Bogotá,24,,Cancelado,66258
SRV001108,2024-05-22 18:44:00,Grúa,Barranquilla,HDI Seguros,139,56.0,Completado,242867
SRV005838,2024-02-01 05:48:00,Grúa,Medellín,AXA Colpatria,66,56.0,Completado,295862
SRV010233,2024-03-12 13:51:00,Grúa,Cali,Sura Seguros,110,84.0,Completado,169243
SRV013569,2024-03-21 15:08:00,Batería,Cali,Banco Davivienda,118,22.0,Completado,150185
SRV011206,2024-04-19 00:11:00,Grúa,Bogotá,Cardif Seguros,31,68.0,Completado,218585
SRV014639,2024-04-16 10:24:00,Grúa,Cali,Mapfre Colombia,125,49.0,Completado,195732
SRV006440,2024-05-09 09:15:00,Grúa,Medellín,Seguros Generales,91,62.0,Completado,209018
SRV013386,2024-02-29 05:32:00,Grúa,Barranquilla,Scotiabank Colpatria,144,70.0,Completado,189648
SRV012751,2024-05-21 07:30:00,Grúa,Barranquilla,Equidad Seguros,145,67.0,Completado,260031
SRV009985,2024-04-25 13:16:00,Batería,Barranquilla,Seguros Generales,146,23.0,Completado,140912
SRV013249,2024-04-23 02:18:00,Grúa,Barranquilla,Zurich Seguros,148,76.0,Completado,193753
SRV002844,2024-04-04 20:29:00,Grúa,Bogotá,HDI Seguros,51,105.0,Completado,161520
SRV006967,2024-04-28 04:45:00,Ambulancia, Bogotá,Seguros Generales,60,22.0,Completado,218414
SRV012204,2024-01-25 21:19:00,Batería,Bogotá,Sura Seguros,10,,Cancelado,95089
SRV011314,2024-03-13 18:41:00,Ambulancia, Bogotá,Grupo Éxito,1,10.0,Completado,277247
SRV009798,2024-03-27 20:27:00,Batería,Cali,Mundial Seguros,105,27.0,Completado,53013
SRV005433,2024-04-25 20:43:00,Cerrajería,Barranquilla,Scotiabank Colpatria,141,36.0,Completado,87987
SRV012888,2024-06-02 09:53:00,Batería,Cali,Avianca,119,29.0,Completado,85365
SRV007641,2024-04-07 02:39:00,Cerrajería,Cali,HDI Seguros,124,42.0,Completado,91342
SRV010818,2024-01-15 10:42:00,Cerrajería,Medellín,Allianz Seguros,62,40.0,Completado,67598
SRV002152,2024-06-15 23:34:00,Batería,Cali,Banco de Bogotá,116,34.0,Completado,97534
SRV002697,2024-04-29 21:59:00,Ambulancia,BOGOTA,Grupo Argos,12,23.0,Completado,279739
SRV011678,2024-03-26 20:43:00,Cerrajería,Barranquilla,Avianca,138,44.0,Completado,103120
SRV003880,2024-02-14 20:48:00,Grúa,Barranquilla,Allianz Seguros,132,89.0,Completado,279085
SRV003983,2024-03-16 02:24:00,Batería,Cali,Banco Davivienda,101,15.0,Completado,138826
SRV014353,2024-06-22 19:16:00,Grúa, Bogotá,Cardif Seguros,4,54.0,Completado,302140
SRV009364,2024-06-02 05:27:00,Cerrajería,Bogotá,Seguros Generales,4,26.0,Completado,118826
SRV010398,2024-01-31 14:03:00,Cerrajería,Barranquilla,Grupo Éxito,147,25.0,Completado,111251
SRV008985,2024-01-17 14:16:00,Batería,Medellín,BBVA Colombia,74,25.0,Completado,54085
SRV012240,2024-05-13 20:16:00,Batería,Bogota D.C.,HDI Seguros,50,19.0,Cancelado,72984
SRV007057,2024-06-25 17:12:00,Grúa,Cali,Grupo Nutresa,106,79.0,Completado,363956
SRV011017,2024-03-19 15:03:00,Cerrajería,Bogotá,Banco de Bogotá,31,27.0,Completado,116486
SRV006017,2024-04-07 06:16:00,Cerrajería,Cali,Mundial Seguros,98,24.0,Completado,110706
SRV014067,2024-03-04 16:37:00,Cerrajería, Bogotá,Allianz Seguros,40,39.0,Completado,136876
SRV003798,2024-02-22 09:27:00,Cerrajería,Medellín,Allianz Seguros,71,49.0,Cancelado,98725
SRV009923,2024-05-29 13:54:00,Grúa,Barranquilla,AXA Colpatria,131,53.0,Completado,292851
SRV009516,2024-03-12 19:32:00,Grúa,Barranquilla,Avianca,144,64.0,Completado,268601
SRV013187,2024-05-27 03:30:00,Grúa,Bogotá,Avianca,23,77.0,Completado,273715
SRV011954,2024-07-03 05:57:00,Cerrajería,Cali,HDI Seguros,109,35.0,Completado,125744
SRV000322,2024-03-15 16:45:00,Batería,Bogotá,Grupo Éxito,54,19.0,Completado,95798
SRV014042,2024-06-24 07:48:00,Grúa,Bogotá,Mapfre Colombia,18,,Cancelado,192895
SRV003377,2024-02-19 15:22:00,Grúa,Bogotá,Mundial Seguros,40,49.0,Completado,233878
SRV007316,2024-01-14 13:13:00,Grúa,Barranquilla,Mapfre Colombia,128,83.0,Completado,251787
SRV012600,2024-05-27 16:19:00,Grúa,Bogotá,Grupo Nutresa,12,60.0,Completado,189565
SRV010082,2024-01-09 07:54:00,Grúa,Bogotá,Mapfre Colombia,51,42.0,Completado,274674
SRV006240,2024-04-13 13:56:00,Grúa,BOGOTA,Seguros del Estado,52,128.0,Completado,275163
SRV000049,2024-03-21 07:16:00,Grúa,Bogotá,Seguros del Estado,58,49.0,Completado,183107
SRV002141,2024-06-25 15:48:00,Batería,Barranquilla,BBVA Colombia,130,13.0,Completado,152594
SRV005859,2024-02-23 23:42:00,Ambulancia,Barranquilla,Equidad Seguros,139,19.0,Completado,368754
SRV012285,2024-04-17 07:43:00,Cerrajería,Barranquilla,Previsora Seguros,138,52.0,Completado,146173
SRV005511,2024-04-13 00:10:00,Ambulancia,Medellín,Banco de Bogotá,88,13.0,Completado,226428
SRV012555,2024-03-28 19:37:00,Grúa,Medellín,Seguros Generales,72,71.0,Completado,235101
SRV002149,2024-01-21 13:40:00,Batería,Medellín,Seguros Generales,80,36.0,Completado,88271
SRV009750,2024-02-14 06:57:00,Grúa,Cali,Previsora Seguros,106,91.0,Completado,211343
SRV002876,2024-03-11 03:44:00,Grúa,Cali,Zurich Seguros,106,31.0,Completado,247257
SRV010443,2024-05-04 21:57:00,Grúa,Medellín,Cardif Seguros,72,67.0,Completado,237203
SRV014619,2024-06-24 21:54:00,Batería,Medellín,Cardif Seguros,89,,Cancelado,99281
SRV008025,2024-02-07 03:05:00,Cerrajería,BOGOTA,Seguros Generales,42,31.0,Completado,75012
SRV012282,2024-06-02 11:47:00,Batería,Bogota D.C.,Avianca,29,,Cancelado,136655
SRV000615,2024-01-22 05:17:00,Ambulancia,Medellín,BBVA Colombia,69,22.0,Completado,329899
SRV000736,2024-05-28 04:10:00,Ambulancia,Bogotá,Allianz Seguros,7,23.0,Completado,258707
SRV000554,2024-04-28 14:02:00,Batería,Bogotá,Ecopetrol,41,21.0,Completado,76186
SRV001720,2024-06-07 19:30:00,Cerrajería,Medellín,Banco Davivienda,65,26.0,Completado,114768
SRV007948,2024-01-16 14:05:00,Grúa,Medellín,Zurich Seguros,86,39.0,Completado,308774
SRV007147,2024-06-23 08:28:00,Batería,Medellín,Ecopetrol,93,27.0,Completado,119280
SRV005867,2024-03-08 19:20:00,Grúa,Barranquilla,HDI Seguros,146,48.0,Completado,210612
SRV012833,2024-01-06 15:53:00,Grúa,Bogotá,Mapfre Colombia,9,55.0,Completado,248407
SRV003552,2024-05-21 18:43:00,Cerrajería,Barranquilla,Zurich Seguros,137,31.0,Completado,91941
SRV012999,2024-05-26 00:26:00,Grúa,Barranquilla,Mapfre Colombia,149,,Cancelado,192093
SRV004697,2024-05-27 00:58:00,Batería,Bogotá,Seguros Generales,8,22.0,Completado,133678
SRV005551,2024-01-26 12:32:00,Batería,Bogota D.C.,Banco de Bogotá,44,36.0,Completado,61231
SRV007584,2024-05-19 10:47:00,Cerrajería,Barranquilla,Bancolombia,144,23.0,Completado,106777
SRV011093,2024-02-02 04:43:00,Ambulancia,Medellín,SBS Seguros,84,25.0,Completado,315058
SRV008973,2024-06-16 03:01:00,Grúa,Barranquilla,Grupo Éxito,136,,Cancelado,336741
SRV006022,2024-05-28 09:58:00,Cerrajería,Medellín,Cardif Seguros,66,50.0,Completado,92295
SRV012530,2024-01-10 08:29:00,Batería,Medellín,Liberty Seguros,89,12.0,Completado,106591
SRV005291,2024-05-06 08:26:00,Grúa,Medellín,Seguros del Estado,83,34.0,Completado,294570
SRV010158,2024-05-08 11:47:00,Grúa,Barranquilla,Sura Seguros,132,66.0,Completado,258092
SRV001351,2024-06-24 09:52:00,Cerrajería,Barranquilla,Seguros del Estado,138,63.0,Completado,110721
SRV003598,2024-05-06 22:45:00,Grúa,BOGOTA,Seguros Bolivar,8,59.0,Completado,251098
SRV013160,2024-05-16 15:49:00,Cerrajería,Medellín,Bancolombia,73,36.0,Completado,123220
SRV000594,2024-05-14 01:42:00,Grúa, Bogotá,AXA Colpatria,51,34.0,Completado,262898
SRV014717,2024-06-18 08:22:00,Grúa,Medellín,SBS Seguros,78,,Cancelado,169155
SRV001252,2024-06-02 23:38:00,Cerrajería,Cali,Seguros Generales,122,24.0,Completado,139826
SRV007934,2024-03-05 14:27:00,Grúa,Bogotá,Seguros Generales,38,94.0,Completado,353771
SRV000098,2024-01-18 08:22:00,Grúa,Bogotá,Banco de Bogotá,21,64.0,Completado,271472
SRV014017,2024-02-19 18:46:00,Grúa,Bogotá,Seguros del Estado,34,33.0,Completado,162027
SRV008865,2024-02-21 03:38:00,Grúa,Barranquilla,Equidad Seguros,142,83.0,Completado,327680
SRV013059,2024-05-19 07:12:00,Grúa,Bogota D.C.,Seguros Generales,60,78.0,Completado,212645
SRV007740,2024-01-02 01:02:00,Cerrajería,Medellín,Allianz Seguros,91,62.0,Completado,126345
SRV007924,2024-03-04 01:07:00,Batería,Bogotá,Ecopetrol,55,26.0,Completado,84854
SRV013105,2024-01-14 15:36:00,Cerrajería,Medellín,BBVA Colombia,84,25.0,Completado,83444
SRV002586,2024-04-25 17:18:00,Cerrajería,Cali,Bancolombia,121,,Cancelado,127441
SRV008757,2024-01-09 06:07:00,Cerrajería,Medellín,AXA Colpatria,70,,Cancelado,80524
SRV008284,2024-05-25 06:11:00,Batería,Barranquilla,Seguros del Estado,150,21.0,Completado,70826
SRV002906,2024-02-07 11:28:00,Cerrajería,Bogotá,Grupo Argos,6,35.0,Completado,133834
SRV013845,2024-01-05 20:39:00,Grúa,Barranquilla,Grupo Nutresa,142,53.0,Completado,320890
SRV005656,2024-03-08 03:21:00,Cerrajería, Bogotá,AXA Colpatria,7,43.0,Completado,120268
SRV008931,2024-02-25 18:42:00,Grúa,Bogotá,Banco Davivienda,55,69.0,Completado,193158
SRV001952,2024-05-09 21:26:00,Grúa,Barranquilla,Seguros Generales,145,,Completado,219958
SRV004573,2024-04-05 05:35:00,Grúa,Bogotá,Previsora Seguros,15,,Cancelado,310200
SRV014580,2024-04-23 23:55:00,Grúa,Bogota D.C.,BBVA Colombia,7,57.0,Completado,293134
SRV009481,2024-04-07 09:15:00,Batería,Cali,Avianca,103,15.0,Completado,93254
SRV002743,2024-01-11 12:07:00,Ambulancia,Cali,Seguros del Estado,119,19.0,Completado,221920
SRV012438,2024-06-12 13:36:00,Ambulancia,Bogotá,SBS Seguros,8,23.0,Completado,319157
SRV013629,2024-02-24 23:14:00,Ambulancia,Medellín,Banco Davivienda,64,20.0,Completado,244564
SRV005413,2024-06-27 02:36:00,Batería,Bogotá,HDI Seguros,29,29.0,Completado,118624
SRV001631,2024-06-15 01:24:00,Grúa,Medellín,Banco Davivienda,87,74.0,Cancelado,317647
SRV000760,2024-06-06 13:15:00,Cerrajería,Cali,AXA Colpatria,113,54.0,Completado,188414
SRV010340,2024-05-31 17:43:00,Ambulancia,Medellín,Seguros Generales,77,23.0,Completado,356969
SRV009457,2024-03-03 23:27:00,Grúa,Medellín,Grupo Argos,88,82.0,Completado,380495
SRV000872,2024-05-26 00:16:00,Cerrajería,Bogotá,Equidad Seguros,60,20.0,Completado,124032
SRV013321,2024-03-01 01:46:00,Grúa,Medellín,Banco de Bogotá,81,71.0,Completado,223604
SRV010896,2024-01-01 05:45:00,Cerrajería,Bogotá,Mundial Seguros,24,42.0,Completado,107963
SRV005124,2024-04-17 07:36:00,Grúa,Cali,Allianz Seguros,108,51.0,Completado,224198
SRV004285,2024-02-03 10:23:00,Ambulancia,Barranquilla,Allianz Seguros,141,19.0,Completado,299502
SRV006952,2024-05-31 09:39:00,Grúa,Medellín,Seguros Generales,83,105.0,Completado,264716
SRV002367,2024-02-07 20:59:00,Cerrajería,Cali,Avianca,116,,Completado,119914
SRV002768,2024-05-28 01:08:00,Cerrajería,Bogotá,Banco Davivienda,53,34.0,Completado,116761
SRV001417,2024-05-30 03:21:00,Grúa, Bogotá,Mundial Seguros,21,64.0,Completado,178926
SRV014016,2024-02-05 15:26:00,Cerrajería,Bogotá,Mapfre Colombia,3,27.0,Completado,133184
SRV003919,2024-04-24 20:12:00,Batería,BOGOTA,Mapfre Colombia,51,26.0,Completado,123341
SRV002950,2024-02-17 12:18:00,Batería,Bogotá,Scotiabank Colpatria,56,27.0,Completado,168719
SRV002927,2024-04-24 21:42:00,Batería,Medellín,Seguros Bolivar,74,39.0,Completado,63022
SRV003861,2024-05-11 03:52:00,Cerrajería,BOGOTA,HDI Seguros,45,52.0,Completado,152312
SRV011877,2024-01-03 19:27:00,Cerrajería,Medellín,Grupo Nutresa,63,22.0,Completado,102679
SRV000068,2024-06-11 08:32:00,Batería,Bogotá,Avianca,51,25.0,Completado,124215
SRV005816,2024-03-24 17:29:00,Grúa,Medellín,Bancolombia,81,27.0,Completado,224459
SRV001194,2024-06-16 04:44:00,Cerrajería,Cali,BBVA Colombia,114,39.0,Completado,157795
SRV009521,2024-04-26 04:54:00,Grúa,Cali,Liberty Seguros,108,67.0,Completado,257345
SRV009205,2024-01-25 20:02:00,Grúa,Cali,Equidad Seguros,108,,Cancelado,333767
SRV008521,2024-06-04 05:21:00,Batería,BOGOTA,Cardif Seguros,60,17.0,Completado,86603
SRV011547,2024-03-20 00:46:00,Batería,Medellín,Seguros Generales,86,16.0,Completado,105398
SRV002977,2024-06-09 05:48:00,Grúa,Cali,Liberty Seguros,119,81.0,Completado,250860
SRV012743,2024-04-05 06:02:00,Grúa,Cali,Grupo Nutresa,125,,Cancelado,260399
SRV010089,2024-02-11 18:27:00,Grúa,Cali,Cardif Seguros,99,50.0,Completado,213003
SRV011071,2024-05-02 12:44:00,Grúa,Barranquilla,Allianz Seguros,141,34.0,Completado,240937
SRV002530,2024-06-08 17:32:00,Cerrajería,BOGOTA,HDI Seguros,11,35.0,Completado,144816
SRV014401,2024-01-18 19:40:00,Cerrajería,BOGOTA,Allianz Seguros,42,40.0,Cancelado,147579
SRV001371,2024-04-28 01:10:00,Ambulancia,Bogotá,Seguros Bolivar,15,10.0,Completado,355168
SRV005368,2024-04-18 06:39:00,Batería,Cali,Seguros Generales,110,35.0,Completado,92327
SRV010531,2024-05-16 13:55:00,Grúa,Bogotá,BBVA Colombia,13,41.0,Completado,221958
SRV013973,2024-01-23 04:59:00,Batería,Bogotá,Ecopetrol,48,35.0,Completado,131097
SRV000539,2024-03-30 11:46:00,Grúa,Medellín,Scotiabank Colpatria,66,68.0,Completado,252665
SRV002602,2024-04-13 12:27:00,Cerrajería,Cali,SBS Seguros,121,37.0,Completado,60620
SRV009390,2024-04-20 08:57:00,Grúa,Bogotá,Scotiabank Colpatria,31,52.0,Completado,199439
SRV011236,2024-06-28 13:08:00,Grúa,Medellín,Bancolombia,95,49.0,Completado,113702
SRV000017,2024-06-14 03:03:00,Grúa,Bogotá,Mundial Seguros,2,73.0,Completado,338946
SRV005002,2024-04-20 22:27:00,Grúa,Cali,AXA Colpatria,114,60.0,Completado,243519
SRV007286,2024-05-03 03:28:00,Cerrajería,Medellín,Seguros Bolivar,62,38.0,Completado,113819
SRV012621,2024-01-27 05:04:00,Ambulancia,Bogotá,Banco Davivienda,36,6.0,Completado,389538
SRV006309,2024-03-08 14:27:00,Batería,BOGOTA,Ecopetrol,4,17.0,Completado,94661
SRV014794,2024-06-15 16:25:00,Grúa,Bogotá,AXA Colpatria,49,63.0,Completado,180058
SRV005111,2024-05-15 01:38:00,Grúa,Barranquilla,AXA Colpatria,129,88.0,Completado,244611
SRV010271,2024-01-14 12:46:00,Grúa,Bogota D.C.,Seguros del Estado,16,86.0,Completado,256198
SRV014347,2024-02-15 19:54:00,Cerrajería,Bogotá,Grupo Argos,21,33.0,Completado,148924
SRV009392,2024-05-30 18:37:00,Batería,Bogotá,Banco de Bogotá,52,19.0,Completado,80221
SRV010053,2024-12-02 17:41:00,Grúa,Bogotá,Mapfre Colombia,25,92.0,Completado,300063
SRV014894,2024-03-11 14:27:00,Batería,Medellín,Previsora Seguros,69,20.0,Completado,114411
SRV005508,2024-01-28 14:51:00,Grúa,Medellín,Banco de Bogotá,93,63.0,Completado,179878
SRV005422,2024-02-18 23:48:00,Batería,Medellín,Ecopetrol,76,20.0,Completado,143502
SRV011285,2024-03-17 00:13:00,Batería,Medellín,Banco Davivienda,68,31.0,Completado,70243
SRV012017,2024-04-28 19:16:00,Grúa,Bogotá,Seguros Bolivar,14,53.0,Completado,275401
