fecha,mes,año,es_festivo
2023-07-13,July,2023,No
2023-07-14,July,2023,No
2023-07-15,July,2023,No
2023-07-16,July,2023,No
2023-07-17,July,2023,No
2023-07-18,July,2023,No
2023-07-19,July,2023,No
2023-07-20,July,2023,Sí
2023-07-21,July,2023,No
2023-07-22,July,2023,No
2023-07-23,July,2023,No
2023-07-24,July,2023,No
2023-07-25,July,2023,No
2023-07-26,July,2023,No
2023-07-27,July,2023,No
2023-07-28,July,2023,No
2023-07-29,July,2023,No
2023-07-30,July,2023,No
2023-07-31,July,2023,No
2023-08-01,August,2023,No
2023-08-02,August,2023,No
2023-08-03,August,2023,No
2023-08-04,August,2023,No
2023-08-05,August,2023,No
2023-08-06,August,2023,No
2023-08-07,August,2023,Sí
2023-08-08,August,2023,No
2023-08-09,August,2023,No
2023-08-10,August,2023,No
2023-08-11,August,2023,No
2023-08-12,August,2023,No
2023-08-13,August,2023,No
2023-08-14,August,2023,No
2023-08-15,August,2023,No
2023-08-16,August,2023,No
2023-08-17,August,2023,No
2023-08-18,August,2023,No
2023-08-19,August,2023,No
2023-08-20,August,2023,No
2023-08-21,August,2023,Sí
2023-08-22,August,2023,No
2023-08-23,August,2023,No
2023-08-24,August,2023,No
2023-08-25,August,2023,No
2023-08-26,August,2023,No
2023-08-27,August,2023,No
2023-08-28,August,2023,No
2023-08-29,August,2023,No
2023-08-30,August,2023,No
2023-08-31,August,2023,No
2023-09-01,September,2023,No
2023-09-02,September,2023,No
2023-09-03,September,2023,No
2023-09-04,September,2023,No
2023-09-05,September,2023,No
2023-09-06,September,2023,No
2023-09-07,September,2023,No
2023-09-08,September,2023,No
2023-09-09,September,2023,No
2023-09-10,September,2023,No
2023-09-11,September,2023,No
2023-09-12,September,2023,No
2023-09-13,September,2023,No
2023-09-14,September,2023,No
2023-09-15,September,2023,No
2023-09-16,September,2023,No
2023-09-17,September,2023,No
2023-09-18,September,2023,No
2023-09-19,September,2023,No
2023-09-20,September,2023,No
2023-09-21,September,2023,No
2023-09-22,September,2023,No
2023-09-23,September,2023,No
2023-09-24,September,2023,No
2023-09-25,September,2023,No
2023-09-26,September,2023,No
2023-09-27,September,2023,No
2023-09-28,September,2023,No
2023-09-29,September,2023,No
2023-09-30,September,2023,No
2023-10-01,October,2023,No
2023-10-02,October,2023,No
2023-10-03,October,2023,No
2023-10-04,October,2023,No
2023-10-05,October,2023,No
2023-10-06,October,2023,No
2023-10-07,October,2023,No
2023-10-08,October,2023,No
2023-10-09,October,2023,No
2023-10-10,October,2023,No
2023-10-11,October,2023,No
2023-10-12,October,2023,No
2023-10-13,October,2023,No
2023-10-14,October,2023,No
2023-10-15,October,2023,No
2023-10-16,October,2023,Sí
2023-10-17,October,2023,No
2023-10-18,October,2023,No
2023-10-19,October,2023,No
2023-10-20,October,2023,No
2023-10-21,October,2023,No
2023-10-22,October,2023,No
2023-10-23,October,2023,No
2023-10-24,October,2023,No
2023-10-25,October,2023,No
2023-10-26,October,2023,No
2023-10-27,October,2023,No
2023-10-28,October,2023,No
2023-10-29,October,2023,No
2023-10-30,October,2023,No
2023-10-31,October,2023,No
2023-11-01,November,2023,No
2023-11-02,November,2023,No
2023-11-03,November,2023,No
2023-11-04,November,2023,No
2023-11-05,November,2023,No
2023-11-06,November,2023,Sí
2023-11-07,November,2023,No
2023-11-08,November,2023,No
2023-11-09,November,2023,No
2023-11-10,November,2023,No
2023-11-11,November,2023,No
2023-11-12,November,2023,No
2023-11-13,November,2023,Sí
2023-11-14,November,2023,No
2023-11-15,November,2023,No
2023-11-16,November,2023,No
2023-11-17,November,2023,No
2023-11-18,November,2023,No
2023-11-19,November,2023,No
2023-11-20,November,2023,No
2023-11-21,November,2023,No
2023-11-22,November,2023,No
2023-11-23,November,2023,No
2023-11-24,November,2023,No
2023-11-25,November,2023,No
2023-11-26,November,2023,No
2023-11-27,November,2023,No
2023-11-28,November,2023,No
2023-11-29,November,2023,No
2023-11-30,November,2023,No
2023-12-01,December,2023,No
2023-12-02,December,2023,No
2023-12-03,December,2023,No
2023-12-04,December,2023,No
2023-12-05,December,2023,No
2023-12-06,December,2023,No
2023-12-07,December,2023,No
2023-12-08,December,2023,Sí
2023-12-09,December,2023,No
2023-12-10,December,2023,No
2023-12-11,December,2023,No
2023-12-12,December,2023,No
2023-12-13,December,2023,No
2023-12-14,December,2023,No
2023-12-15,December,2023,No
2023-12-16,December,2023,No
2023-12-17,December,2023,No
2023-12-18,December,2023,No
2023-12-19,December,2023,No
2023-12-20,December,2023,No
2023-12-21,December,2023,No
2023-12-22,December,2023,No
2023-12-23,December,2023,No
2023-12-24,December,2023,No
2023-12-25,December,2023,Sí
2023-12-26,December,2023,No
2023-12-27,December,2023,No
2023-12-28,December,2023,No
2023-12-29,December,2023,No
2023-12-30,December,2023,No
2023-12-31,December,2023,No
2024-01-01,January,2024,Sí
2024-01-02,January,2024,No
2024-01-03,January,2024,No
2024-01-04,January,2024,No
2024-01-05,January,2024,No
2024-01-06,January,2024,No
2024-01-07,January,2024,No
2024-01-08,January,2024,Sí
2024-01-09,January,2024,No
2024-01-10,January,2024,No
2024-01-11,January,2024,No
2024-01-12,January,2024,No
2024-01-13,January,2024,No
2024-01-14,January,2024,No
2024-01-15,January,2024,No
2024-01-16,January,2024,No
2024-01-17,January,2024,No
2024-01-18,January,2024,No
2024-01-19,January,2024,No
2024-01-20,January,2024,No
2024-01-21,January,2024,No
2024-01-22,January,2024,No
2024-01-23,January,2024,No
2024-01-24,January,2024,No
2024-01-25,January,2024,No
2024-01-26,January,2024,No
2024-01-27,January,2024,No
2024-01-28,January,2024,No
2024-01-29,January,2024,No
2024-01-30,January,2024,No
2024-01-31,January,2024,No
2024-02-01,February,2024,No
2024-02-02,February,2024,No
2024-02-03,February,2024,No
2024-02-04,February,2024,No
2024-02-05,February,2024,No
2024-02-06,February,2024,No
2024-02-07,February,2024,No
2024-02-08,February,2024,No
2024-02-09,February,2024,No
2024-02-10,February,2024,No
2024-02-11,February,2024,No
2024-02-12,February,2024,No
2024-02-13,February,2024,No
2024-02-14,February,2024,No
2024-02-15,February,2024,No
2024-02-16,February,2024,No
2024-02-17,February,2024,No
2024-02-18,February,2024,No
2024-02-19,February,2024,No
2024-02-20,February,2024,No
2024-02-21,February,2024,No
2024-02-22,February,2024,No
2024-02-23,February,2024,No
2024-02-24,February,2024,No
2024-02-25,February,2024,No
2024-02-26,February,2024,No
2024-02-27,February,2024,No
2024-02-28,February,2024,No
2024-02-29,February,2024,No
2024-03-01,March,2024,No
2024-03-02,March,2024,No
2024-03-03,March,2024,No
2024-03-04,March,2024,No
2024-03-05,March,2024,No
2024-03-06,March,2024,No
2024-03-07,March,2024,No
2024-03-08,March,2024,No
2024-03-09,March,2024,No
2024-03-10,March,2024,No
2024-03-11,March,2024,No
2024-03-12,March,2024,No
2024-03-13,March,2024,No
2024-03-14,March,2024,No
2024-03-15,March,2024,No
2024-03-16,March,2024,No
2024-03-17,March,2024,No
2024-03-18,March,2024,No
2024-03-19,March,2024,No
2024-03-20,March,2024,No
2024-03-21,March,2024,No
2024-03-22,March,2024,No
2024-03-23,March,2024,No
2024-03-24,March,2024,No
2024-03-25,March,2024,Sí
2024-03-26,March,2024,No
2024-03-27,March,2024,No
2024-03-28,March,2024,Sí
2024-03-29,March,2024,Sí
2024-03-30,March,2024,No
2024-03-31,March,2024,No
2024-04-01,April,2024,No
2024-04-02,April,2024,No
2024-04-03,April,2024,No
2024-04-04,April,2024,No
2024-04-05,April,2024,No
2024-04-06,April,2024,No
2024-04-07,April,2024,No
2024-04-08,April,2024,No
2024-04-09,April,2024,No
2024-04-10,April,2024,No
2024-04-11,April,2024,No
2024-04-12,April,2024,No
2024-04-13,April,2024,No
2024-04-14,April,2024,No
2024-04-15,April,2024,No
2024-04-16,April,2024,No
2024-04-17,April,2024,No
2024-04-18,April,2024,No
2024-04-19,April,2024,No
2024-04-20,April,2024,No
2024-04-21,April,2024,No
2024-04-22,April,2024,No
2024-04-23,April,2024,No
2024-04-24,April,2024,No
2024-04-25,April,2024,No
2024-04-26,April,2024,No
2024-04-27,April,2024,No
2024-04-28,April,2024,No
2024-04-29,April,2024,No
2024-04-30,April,2024,No
2024-05-01,May,2024,Sí
2024-05-02,May,2024,No
2024-05-03,May,2024,No
2024-05-04,May,2024,No
2024-05-05,May,2024,No
2024-05-06,May,2024,No
2024-05-07,May,2024,No
2024-05-08,May,2024,No
2024-05-09,May,2024,No
2024-05-10,May,2024,No
2024-05-11,May,2024,No
2024-05-12,May,2024,No
2024-05-13,May,2024,Sí
2024-05-14,May,2024,No
2024-05-15,May,2024,No
2024-05-16,May,2024,No
2024-05-17,May,2024,No
2024-05-18,May,2024,No
2024-05-19,May,2024,No
2024-05-20,May,2024,No
2024-05-21,May,2024,No
2024-05-22,May,2024,No
2024-05-23,May,2024,No
2024-05-24,May,2024,No
2024-05-25,May,2024,No
2024-05-26,May,2024,No
2024-05-27,May,2024,No
2024-05-28,May,2024,No
2024-05-29,May,2024,No
2024-05-30,May,2024,No
2024-05-31,May,2024,No
2024-06-01,June,2024,No
2024-06-02,June,2024,No
2024-06-03,June,2024,Sí
2024-06-04,June,2024,No
2024-06-05,June,2024,No
2024-06-06,June,2024,No
2024-06-07,June,2024,No
2024-06-08,June,2024,No
2024-06-09,June,2024,No
2024-06-10,June,2024,Sí
2024-06-11,June,2024,No
2024-06-12,June,2024,No
2024-06-13,June,2024,No
2024-06-14,June,2024,No
2024-06-15,June,2024,No
2024-06-16,June,2024,No
2024-06-17,June,2024,No
2024-06-18,June,2024,No
2024-06-19,June,2024,No
2024-06-20,June,2024,No
2024-06-21,June,2024,No
2024-06-22,June,2024,No
2024-06-23,June,2024,No
2024-06-24,June,2024,No
2024-06-25,June,2024,No
2024-06-26,June,2024,No
2024-06-27,June,2024,No
2024-06-28,June,2024,No
2024-06-29,June,2024,No
2024-06-30,June,2024,No
2024-07-01,July,2024,Sí
2024-07-02,July,2024,No
2024-07-03,July,2024,No
2024-07-04,July,2024,No
2024-07-05,July,2024,No
2024-07-06,July,2024,No
2024-07-07,July,2024,No
2024-07-08,July,2024,No
2024-07-09,July,2024,No
2024-07-10,July,2024,No
2024-07-11,July,2024,No
2024-07-12,July,2024,No
2024-07-13,July,2024,No
2024-07-14,July,2024,No
2024-07-15,July,2024,No
2024-07-16,July,2024,No
2024-07-17,July,2024,No
2024-07-18,July,2024,No
2024-07-19,July,2024,No
2024-07-20,July,2024,Sí
2024-07-21,July,2024,No
2024-07-22,July,2024,No
2024-07-23,July,2024,No
2024-07-24,July,2024,No
2024-07-25,July,2024,No
2024-07-26,July,2024,No
2024-07-27,July,2024,No
2024-07-28,July,2024,No
2024-07-29,July,2024,No
2024-07-30,July,2024,No
2024-07-31,July,2024,No
2024-08-01,August,2024,No
2024-08-02,August,2024,No
2024-08-03,August,2024,No
2024-08-04,August,2024,No
2024-08-05,August,2024,No
2024-08-06,August,2024,No
2024-08-07,August,2024,Sí
2024-08-08,August,2024,No
2024-08-09,August,2024,No
2024-08-10,August,2024,No
2024-08-11,August,2024,No
2024-08-12,August,2024,No
2024-08-13,August,2024,No
2024-08-14,August,2024,No
2024-08-15,August,2024,No
2024-08-16,August,2024,No
2024-08-17,August,2024,No
2024-08-18,August,2024,No
2024-08-19,August,2024,Sí
2024-08-20,August,2024,No
2024-08-21,August,2024,No
2024-08-22,August,2024,No
2024-08-23,August,2024,No
2024-08-24,August,2024,No
2024-08-25,August,2024,No
2024-08-26,August,2024,No
2024-08-27,August,2024,No
2024-08-28,August,2024,No
2024-08-29,August,2024,No
2024-08-30,August,2024,No
2024-08-31,August,2024,No
2024-09-01,September,2024,No
2024-09-02,September,2024,No
2024-09-03,September,2024,No
2024-09-04,September,2024,No
2024-09-05,September,2024,No
2024-09-06,September,2024,No
2024-09-07,September,2024,No
2024-09-08,September,2024,No
2024-09-09,September,2024,No
2024-09-10,September,2024,No
2024-09-11,September,2024,No
2024-09-12,September,2024,No
2024-09-13,September,2024,No
2024-09-14,September,2024,No
2024-09-15,September,2024,No
2024-09-16,September,2024,No
2024-09-17,September,2024,No
2024-09-18,September,2024,No
2024-09-19,September,2024,No
2024-09-20,September,2024,No
2024-09-21,September,2024,No
2024-09-22,September,2024,No
2024-09-23,September,2024,No
2024-09-24,September,2024,No
2024-09-25,September,2024,No
2024-09-26,September,2024,No
2024-09-27,September,2024,No
2024-09-28,September,2024,No
2024-09-29,September,2024,No
2024-09-30,September,2024,No
2024-10-01,October,2024,No
2024-10-02,October,2024,No
2024-10-03,October,2024,No
2024-10-04,October,2024,No
2024-10-05,October,2024,No
2024-10-06,October,2024,No
2024-10-07,October,2024,No
2024-10-08,October,2024,No
2024-10-09,October,2024,No
2024-10-10,October,2024,No
2024-10-11,October,2024,No
2024-10-12,October,2024,No
2024-10-13,October,2024,No
2024-10-14,October,2024,Sí
2024-10-15,October,2024,No
2024-10-16,October,2024,No
2024-10-17,October,2024,No
2024-10-18,October,2024,No
2024-10-19,October,2024,No
2024-10-20,October,2024,No
2024-10-21,October,2024,No
2024-10-22,October,2024,No
2024-10-23,October,2024,No
2024-10-24,October,2024,No
2024-10-25,October,2024,No
2024-10-26,October,2024,No
2024-10-27,October,2024,No
2024-10-28,October,2024,No
2024-10-29,October,2024,No
2024-10-30,October,2024,No
2024-10-31,October,2024,No
2024-11-01,November,2024,No
2024-11-02,November,2024,No
2024-11-03,November,2024,No
2024-11-04,November,2024,Sí
2024-11-05,November,2024,No
2024-11-06,November,2024,No
2024-11-07,November,2024,No
2024-11-08,November,2024,No
2024-11-09,November,2024,No
2024-11-10,November,2024,No
2024-11-11,November,2024,Sí
2024-11-12,November,2024,No
2024-11-13,November,2024,No
2024-11-14,November,2024,No
2024-11-15,November,2024,No
2024-11-16,November,2024,No
2024-11-17,November,2024,No
2024-11-18,November,2024,No
2024-11-19,November,2024,No
2024-11-20,November,2024,No
2024-11-21,November,2024,No
2024-11-22,November,2024,No
2024-11-23,November,2024,No
2024-11-24,November,2024,No
2024-11-25,November,2024,No
2024-11-26,November,2024,No
2024-11-27,November,2024,No
2024-11-28,November,2024,No
2024-11-29,November,2024,No
2024-11-30,November,2024,No
2024-12-01,December,2024,No
2024-12-02,December,2024,No
2024-12-03,December,2024,No
2024-12-04,December,2024,No
2024-12-05,December,2024,No
2024-12-06,December,2024,No
2024-12-07,December,2024,No
2024-12-08,December,2024,Sí
2024-12-09,December,2024,No
2024-12-10,December,2024,No
2024-12-11,December,2024,No
2024-12-12,December,2024,No
2024-12-13,December,2024,No
2024-12-14,December,2024,No
2024-12-15,December,2024,No
2024-12-16,December,2024,No
2024-12-17,December,2024,No
2024-12-18,December,2024,No
2024-12-19,December,2024,No
2024-12-20,December,2024,No
2024-12-21,December,2024,No
2024-12-22,December,2024,No
2024-12-23,December,2024,No
2024-12-24,December,2024,No
2024-12-25,December,2024,Sí
2024-12-26,December,2024,No
2024-12-27,December,2024,No
2024-12-28,December,2024,No
2024-12-29,December,2024,No
2024-12-30,December,2024,No
2024-12-31,December,2024,No
